_id,level,reason_end
6332b934d15932f04002bcda,1,TIME_UP
6333473fa342b01c8840bd25,1,SUCCESS
63334873a577df2ed6fde75d,1,SUCCESS
6333487da342b01c88410375,1,SUCCESS
6333488e09b0dac2f0947894,1,SUCCESS
633348b834d0a6dd085bdfbf,1,SUCCESS
633348db8b9212a3107cb9dd,1,SUCCESS
633348ddda34df3f324de131,1,SUCCESS
633348dda342b01c88411534,1,SUCCESS
633348dd9d9500795ed91d21,1,SUCCESS
633348e7210c7e9925dcd0b0,1,SUCCESS
6333491ad15932f0401a25cd,1,SUCCESS
63334932a342b01c88412516,1,SUCCESS
63334994da34df3f324e055c,1,SUCCESS
633349a90d438f13abd18cd3,1,SUCCESS
633349bf9d9500795ed9427e,1,SUCCESS
633349e68b9212a3107cec54,1,SUCCESS
633349f9a342b01c88414acf,1,KILLED
63334a089d9500795ed94fb6,1,SUCCESS
63334a1a34d0a6dd085c22a0,1,KILLED
63334a3809b0dac2f094c757,1,SUCCESS
63334a5434d0a6dd085c2cb3,1,SUCCESS
63334a61a577df2ed6fe41e0,1,KILLED
63334a6d5e5dc77bc351228a,1,SUCCESS
63334a84a342b01c884163b8,1,SUCCESS
63334a99d52c9dde9da0bc79,1,SUCCESS
63334a9d34d0a6dd085c3e9e,1,KILLED
63334ab3a342b01c8841716d,1,SUCCESS
63334aba34d0a6dd085c4430,1,SUCCESS
63334ae4a342b01c884179be,1,KILLED
63334aefa577df2ed6fe6018,1,SUCCESS
63334b219d9500795ed9866b,1,SUCCESS
63334b31d15932f0401a7e89,1,KILLED
63334b4509b0dac2f094fbaa,1,KILLED
63334b579d9500795ed98ff0,1,SUCCESS
63334b61da34df3f324e5bb2,1,SUCCESS
63334b8c0b988074a078f3d8,1,SUCCESS
63334c0534d0a6dd085c80ea,1,SUCCESS
63334c21a342b01c8841b368,1,SUCCESS
63334c869d9500795ed9cce8,1,KILLED
633353c8a577df2ed6000950,1,KILLED
633354985e5dc77bc353105f,1,SUCCESS
633354d0a342b01c88435594,1,SUCCESS
633354e98b9212a3107f0117,1,SUCCESS
633354f709b0dac2f096ce15,1,SUCCESS
63335516d52c9dde9da2b6fc,1,SUCCESS
633355375e5dc77bc3533104,1,SUCCESS
6333554a34d0a6dd085e4aef,1,SUCCESS
633355658b9212a3107f1b05,1,SUCCESS
633357365e5dc77bc3539042,1,SUCCESS
63335736d15932f0401c9cb9,1,SUCCESS
6333575b5e5dc77bc3539689,1,SUCCESS
633358cca342b01c884415cf,1,SUCCESS
633363d534d0a6dd0860e9dd,1,SUCCESS
633373b48b9212a31084968f,1,SUCCESS
633373c9d52c9dde9da83c82,1,SUCCESS
633374b24c44d44deebf827a,1,SUCCESS
633374e3f27421740a5c356f,1,SUCCESS
6333756c8b9212a31084d837,1,SUCCESS
633375f2a342b01c88494582,1,SUCCESS
63337629a577df2ed6063e8e,1,KILLED
633378bdd52c9dde9da90b91,1,SUCCESS
63338038d15932f04023477f,1,SUCCESS
633382dca577df2ed6085424,1,SUCCESS
63338ca9210c7e9925e8977a,1,SUCCESS
